INSEE_COM,EPT,EPT_Nom
94054,T12,Val de Bievres - Seine Amond - Grand Orly
93066,T6,Plaine Commune
92033,T4,La Defense
94075,T11,Plaine Centrale - Haut Val-de-Marne - Plateau Briard
92025,T5,Boucle Nord 92
92007,T2,Sud Hauts-de-Seine
75103,T1,Paris
93039,T6,Plaine Commune
93049,T9,Grand-Paris Est
94065,T12,Val de Bievres - Seine Amond - Grand Orly
94058,T10,Association des Communes de l'Est Parisien
94067,T10,Association des Communes de l'Est Parisien
93051,T9,Grand-Paris Est
75117,T1,Paris
93014,T9,Grand-Paris Est
93078,T7,Territoire des aeroports
94011,T11,Plaine Centrale - Haut Val-de-Marne - Plateau Briard
92071,T2,Sud Hauts-de-Seine
94048,T11,Plaine Centrale - Haut Val-de-Marne - Plateau Briard
94017,T10,Association des Communes de l'Est Parisien
93046,T9,Grand-Paris Est
93074,T9,Grand-Paris Est
94060,T11,Plaine Centrale - Haut Val-de-Marne - Plateau Briard
92062,T4,La Defense
94069,T10,Association des Communes de l'Est Parisien
94073,T12,Val de Bievres - Seine Amond - Grand Orly
94078,T12,Val de Bievres - Seine Amond - Grand Orly
92012,T3,Grand Paris Sud Ouest
95018,T5,Boucle Nord 92
94071,T11,Plaine Centrale - Haut Val-de-Marne - Plateau Briard
91589,T12,Val de Bievres - Seine Amond - Grand Orly
75120,T1,Paris
94055,T11,Plaine Centrale - Haut Val-de-Marne - Plateau Briard
92009,T5,Boucle Nord 92
92026,T4,La Defense
94016,T12,Val de Bievres - Seine Amond - Grand Orly
93070,T6,Plaine Commune
93013,T7,Territoire des aeroports
93055,T8,Est Ensemble
93032,T9,Grand-Paris Est
94033,T10,Association des Communes de l'Est Parisien
93073,T7,Territoire des aeroports
94080,T10,Association des Communes de l'Est Parisien
93064,T9,Grand-Paris Est
93007,T7,Territoire des aeroports
92019,T2,Sud Hauts-de-Seine
93071,T7,Territoire des aeroports
75115,T1,Paris
75104,T1,Paris
75114,T1,Paris
94070,T11,Plaine Centrale - Haut Val-de-Marne - Plateau Briard
93006,T8,Est Ensemble
93008,T8,Est Ensemble
93027,T6,Plaine Commune
75118,T1,Paris
92064,T4,La Defense
93057,T9,Grand-Paris Est
94076,T12,Val de Bievres - Seine Amond - Grand Orly
94046,T10,Association des Communes de l'Est Parisien
94001,T12,Val de Bievres - Seine Amond - Grand Orly
92044,T4,La Defense
75108,T1,Paris
75109,T1,Paris
75106,T1,Paris
92050,T4,La Defense
93010,T8,Est Ensemble
